Image index,NumFibers,MMA,Vf,A11,A12,A13,A22,A23,A33,Elongation,Yield strength
131,25.0,0.505355515778834,0.400012627383179,0.9999,7.97e-08,3.715e-07,5.596e-05,-6.664e-06,5.299e-05,0.0078879963309221,741.7298735669558
455,23.0,1.8952213973331,0.506302086095486,0.9988,2.952e-06,1.311e-06,0.0006412,0.0002062,0.0005616,0.000653402736241,76.56277279541675
220,25.0,0.468924786,0.60001895,0.9999,3.97e-08,4e-08,3.98e-05,1.2e-05,3.84e-05,0.009623131,1340.844735
703,22.0,2.885393196,0.462725419,0.9968,5.39e-07,1.72e-05,0.002101,-0.0006475,0.001057,0.000773892,81.96383975
820,18.0,4.48910039177683,0.343212526901207,0.9929,4.399e-05,2.2e-06,0.004445,0.0006329,0.002624,0.0001738696037288,13.013037703006606
732,18.0,2.807252473,0.432602883,0.9972,-2.65e-05,-6.94e-06,0.001259,-0.0001929,0.001533,0.000586648,57.83372499
620,18.0,2.85113646,0.450639563,0.9971,-3.33e-06,1.54e-06,0.001198,-0.0003181,0.001662,0.000648642,66.9062435
675,22.0,2.976764241,0.396567273,0.997,-5.35e-06,-1.24e-06,0.001372,-0.0002329,0.001595,0.000782744,71.61939365
125,23.0,0.0,0.643992634,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.01022136,1526.569904
145,25.0,0.643488459,0.425019987,0.9999,2.29e-07,1.55e-08,8.74e-05,1.5e-05,6.25e-05,0.009838725,980.9855241
63,25.0,0.0,0.549992855,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.009874896,1264.771704
388,16.0,1.154815909,0.448100397,0.9995,-3.72e-07,6.78e-07,0.0001583,-5.9e-05,0.0003071,0.001652413,172.5367278
734,17.0,2.666626041,0.408529332,0.9974,-6.26e-06,-1.05e-05,0.001031,2.1e-06,0.001561,0.000527728,49.2870185
488,19.0,1.657014216,0.475255816,0.9989,-4.76e-06,-1.49e-05,0.0003978,7.82e-05,0.0006963,0.000416084,45.3766599
87,25.0,0.0,0.59999578166074,1.0,0.0,6.123e-17,0.0,0.0,3.749e-33,0.0072019825895178,1003.6887891606294
234,22.0,0.54548546,0.572021954,0.9999,-3.66e-08,1.42e-07,3.91e-05,3.31e-06,6.83e-05,0.00494267,656.5913427
909,17.0,4.163032249,0.477294151,0.9946,-2.43e-05,4.8e-06,0.003323,-0.001204,0.002095,0.000601518,64.52768907
37,25.0,0.0,0.474998301,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.013909935,1545.71192
812,23.0,3.20811463194704,0.437876306019718,0.996,-1.231e-05,1.641e-05,0.002198,0.000521,0.00184,0.0010625732306596,106.39774413080087
693,20.0,2.972336679,0.400477651,0.9976,-7.71e-06,-4.09e-06,0.001052,-0.0002349,0.001344,0.000675069,62.74664222
797,24.0,3.450794176,0.40877639,0.9962,-2.04e-05,3.05e-06,0.002763,-0.0003479,0.001072,0.000605855,56.08344766
118,24.0,0.0,0.647995031,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.007210654,1083.47944
