ID,f,c,v,r,t,w,dir,fracture,elongation,elastic modulus,tangent modulus,yield,surrogate_score,surrogate_elongation
25,0.2,18,16,1600,21,42,1,13.9503979,66.97299957,0.485466071,0.183739423,6.280898251,1.5035460992907788,-1.5035460992907788
125,0.4,20,16,1600,20,67,1,25.12661053,45.82122167,0.773547713,0.571127684,20.65777207,1.3829787234042543,-1.3829787234042543
125,0.4,20,16,1600,20,67,0,5.746880728,144.6478907,0.105842007,0.035678039,1.274929456,-0.6170212765957458,0.6170212765957458
49,0.2,20,18,1200,22,65,0,7.739406409,113.6894449,0.288164666,0.051087997,3.115325273,0.0797872340425508,-0.0797872340425508
76,0.2,22,22,0,26,52,0,6.818368479,53.69022369,0.420274605,0.084986393,4.446056277,0.645390070921984,-0.645390070921984
62,0.2,22,16,400,23,67,0,10.58173714,79.10355886,0.364630183,0.111258843,4.143982516,0.6081560283687918,-0.6081560283687918
3,0.2,16,16,800,20,70,1,15.16364808,30.86966515,0.693720161,0.503283905,6.466286831,1.4007092198581534,-1.4007092198581534
72,0.2,22,20,400,23,73,0,8.644261746,42.63678233,0.567424787,0.145733082,6.062312494,0.693262411347515,-0.693262411347515
35,0.2,18,20,1600,25,50,0,5.948008604,87.38077799,0.154006931,0.061440123,1.858256911,-0.3829787234042571,0.3829787234042571
139,0.4,20,22,1200,20,50,1,12.41520902,83.78644307,0.377733985,0.12786539,4.703009866,1.0124113475177297,-1.0124113475177297
25,0.2,18,16,1600,21,42,0,6.079087642,104.5812225,0.140924382,0.052796821,1.653518516,-0.4964539007092213,0.4964539007092213
44,0.2,20,16,1200,20,62,1,7.141428938,25.40299733,0.415503346,0.289214821,5.835877367,1.5372340425531892,-1.5372340425531892
150,0.4,22,18,1600,26,58,0,7.729441367,131.052564,0.254652842,0.045394404,2.688539494,-0.6808510638297882,0.6808510638297882
152,0.4,22,20,400,22,72,1,7.406385211,91.74999873,0.230722437,0.06759084,2.506948097,0.6684397163120555,-0.6684397163120555
22,0.2,18,16,400,20,48,0,10.86870685,68.0690066,0.31845723,0.148741828,4.102083893,0.3386524822695018,-0.3386524822695018
106,0.4,18,18,0,21,63,1,9.704259512,122.0073414,0.159532719,0.072874232,3.481185576,0.3546099290780131,-0.3546099290780131
138,0.4,20,22,800,20,47,1,11.56493701,114.7145526,0.24442813,0.091090739,3.099017585,0.7411347517730489,-0.7411347517730489
